invent|발명하다|invent a new device|새로운 장치를 발명하다|to create something new
forge|조작하다, 위조하다|forge a document|문서를 위조하다|to make something false
manufacture|제조하다|manufacture cars|자동차를 제조하다|produce in large amounts
aspect|측면|an important aspect|중요한 측면|a part or feature
dimension|차원|the dimension of the problem|문제의 차원|a level or extent
side|측면|on the side|옆에서|a position or direction
ease|완화하다|ease the pain|통증을 완화하다|reduce discomfort
promote|촉진하다|promote health|건강을 증진하다|encourage
assist|돕다|assist students|학생들을 돕다|help
list|목록|make a list|목록을 작성하다|a series
include|포함하다|include many details|많은 세부사항을 포함하다|contain
tough|힘든, 거친|a tough exam|힘든 시험|hard or strong
sufficient|충분한|sufficient evidence|충분한 증거|enough
ample|충분한|ample time|충분한 시간|more than enough
enough|충분한|enough money|충분한 돈|adequate
severe|심각한|severe weather|심각한 날씨|harsh
weak point|약점|a weak point|약점|a disadvantage
change|변화|change jobs|직업을 바꾸다|alter
concentrate on|~에 집중하다|concentrate on study|공부에 집중하다|focus on
weigh|무게를 재다, 고려하다|weigh the options|선택지를 고려하다|consider
stress|강조하다|stress the importance|중요성을 강조하다|emphasize
highlight|강조하다|highlight the key point|핵심 포인트를 강조하다|emphasize
mark|표시하다|mark the answer|정답을 표시하다|indicate
sign|표시하다|sign the document|문서에 서명하다|signal
remarkable|놀라운|a remarkable story|놀라운 이야기|unusual
outstanding|뛰어난|an outstanding student|뛰어난 학생|excellent
exceptional|특별한|exceptional talent|특별한 재능|extraordinary
excellent|우수한|excellent work|우수한 작업|very good
stunning|멋진|a stunning view|멋진 풍경|beautiful
stellar|눈부신|a stellar performance|눈부신 공연|excellent
strengthen|강화하다|strengthen a team|팀을 강화하다|make stronger
supply|공급하다|supply food|식량을 공급하다|provide
melt|녹다|melt ice|얼음을 녹이다|become liquid
